Genus,In_RF_top20,In_SHAP_top18,In_DA_sig,Convergence,RF_Rank,Log2FC,q_value,Direction
Megasphaera,True,True,True,3,1,2.463709788324395,3.701519502426081e-12,↑ in OB
Pseudoflavonifractor,True,True,True,3,2,-0.9142431486178004,5.940874989100755e-14,↓ in OB
Sporobacter,True,True,True,3,3,-1.3912311310735193,2.106005491721226e-23,↓ in OB
Collinsella,True,True,True,3,4,1.8623821409020984,2.496052142421218e-16,↑ in OB
Lachnospira,True,True,True,3,5,0.8946751670330263,2.8214528089710497e-17,↑ in OB
Eggerthella,True,True,True,3,6,0.2382739305865312,0.0033269826272813,↑ in OB
Anaerotruncus,True,True,True,3,7,0.991741856860494,2.5270747976468616e-07,↑ in OB
Howardella,True,True,True,3,8,-0.4390477824255788,0.0310384711656977,↓ in OB
Oscillibacter,True,True,True,3,9,-0.085848092179398,4.206356110537497e-06,↓ in OB
Streptococcus,True,True,True,3,10,1.4111296492713388,4.7899686249799735e-08,↑ in OB
Acidaminococcus,True,True,True,3,11,1.4213184536419834,0.0007324008329286,↑ in OB
Clostridium_IV,True,True,True,3,13,-0.8421355609423106,2.160151107172996e-12,↓ in OB
Enterobacter,True,True,True,3,15,-0.4226743341218885,0.00837426166019,↓ in OB
Anaerostipes,True,True,True,3,16,-0.7959223142138225,1.6957779954600521e-15,↓ in OB
Gemmiger,True,True,True,3,18,-0.5452253475754923,1.5025400250588361e-18,↓ in OB
Clostridium_XlVa,True,False,True,2,14,-0.3082826288333015,0.0016620237976459,↓ in OB
Lactobacillus,True,True,False,2,17,0.7705966313164436,0.1822076447359759,↑ in OB
Actinomyces,True,False,True,2,19,-0.234103866495298,0.005555464502332,↓ in OB
Ruminococcus,True,False,True,2,20,-0.3219134615931384,0.0030175152748559,↓ in OB
Desulfovibrio,False,True,True,2,21,-1.3949753228725106,9.20321444467084e-10,↓ in OB
Butyricicoccus,False,True,True,2,22,0.9789456164976532,2.540041077100582e-12,↑ in OB
Roseburia,True,False,False,1,12,0.0578234665968875,0.8893780041258731,↑ in OB
