Genus,Phylum,Family,Health_Association,p_value_HvsOB,p_value_HvsOW,Mean_TSS_H,Mean_TSS_OB,Mean_TSS_OW,Log2FC_OBvsH,LDA_Score_OBvsH,Prevalence_H,Prevalence_OB,q_value_HvsOB,q_value_HvsOW,Direction,Significant
Sporobacter,,,unclassified,2.9662049179172198e-25,1.7395202495361281e-06,0.0063703697472865745,0.00242863488119752,0.007973155543370997,-1.3912311310735193,-0.41869179513100185,0.656441717791411,0.37589928057553956,2.106005491721226e-23,1.0292161476422092e-05,↓ in OB,True
Hespellia,,,unclassified,5.2945316647117394e-24,5.662937375325301e-13,0.0007192185215913338,0.0002991979786448109,0.0012765948814641944,-1.265326929681843,-0.3800565221326657,0.602760736196319,0.28776978417266186,1.8795587409726676e-22,2.0103427682404817e-11,↓ in OB,True
Anaerosporobacter,,,unclassified,1.8092737676678482e-23,1.3478122820988194e-06,0.0007861051873571182,0.0002522583988633866,0.0008305935961950159,-1.6398161818282864,-0.4924689177170052,0.5429447852760736,0.25539568345323743,4.281947916813908e-22,8.699515639001472e-06,↓ in OB,True
Akkermansia,,,unclassified,3.572985145203029e-21,1.901663441953192e-09,0.026600818824588767,0.011163408316025223,0.037870460335144185,-1.25269301466068,-0.37707561974688963,0.6871165644171779,0.42985611510791366,6.342048632735376e-20,2.2503017396446106e-08,↓ in OB,True
Gemmiger,,,unclassified,1.0581267782104478e-19,1.1281321298302418e-12,0.01482738018481585,0.010160971327463257,0.023494672569661007,-0.5452253475754923,-0.16411574718452338,0.691717791411043,0.39748201438848924,1.502540025058836e-18,2.6699127072649056e-11,↓ in OB,True
Lachnospira,,,unclassified,2.3843263174403235e-18,9.76377616468893e-17,0.003556946064929602,0.006613043781841742,0.0003402936697563089,0.8946751670330263,0.26926770510377906,0.2791411042944785,0.5323741007194245,2.8214528089710497e-17,6.93228107692914e-15,↑ in OB,True
Alistipes,,,unclassified,8.378142567254514e-18,6.851848348351421e-05,0.056350552483194184,0.02917759613403238,0.06620754613580818,-0.9495687031047473,-0.2858414924372641,0.8911042944785276,0.8183453237410072,7.43560152843838e-17,0.00027026735151830603,↓ in OB,True
Methanobrevibacter,,,unclassified,7.446243571021629e-18,0.006257425834086841,0.00584527603404554,0.0016583848359696964,0.008331961445640308,-1.8174917024372628,-0.5469321998363017,0.3773006134969325,0.16546762589928057,7.43560152843838e-17,0.014162811689769432,↓ in OB,True
Collinsella,,,unclassified,3.1640097579987275e-17,0.19435855305868477,0.0016944297883126327,0.0061610772106165486,0.0019159176175172568,1.8623821409020986,0.5604473263672181,0.4447852760736196,0.6079136690647482,2.4960521424212185e-16,0.26537417821474263,↑ in OB,True
Anaerostipes,,,unclassified,2.3884197119155664e-16,1.4735004478800932e-07,0.01926347943815927,0.011095278971717647,0.025102165616426995,-0.7959223142138225,-0.23957991126134237,0.8297546012269938,0.7338129496402878,1.6957779954600521e-15,1.1624281311054069e-06,↓ in OB,True
Eubacterium,,,unclassified,1.075457804986338e-15,0.0001870077191458706,0.0008802714042012853,0.0009377123069736342,0.0016520075569628403,0.09119686464194159,0.02742283350098562,0.5720858895705522,0.3237410071942446,6.94159128673e-15,0.0006638774029678405,↑ in OB,True
Lachnobacterium,,,unclassified,1.7142405098457189e-15,0.24052100499704,8.237387178473741e-05,3.292508418150011e-05,0.00015310729215218714,-1.3229733686396532,-0.39050903610245413,0.3159509202453988,0.12410071942446044,1.0142589683253837e-14,0.3104907519052698,↓ in OB,True
Pseudoflavonifractor,,,unclassified,1.0877658430747861e-14,0.001050931234155364,0.0009165399504562856,0.0004863359453274628,0.0004051053251975643,-0.9142431486178005,-0.2747965372664405,0.7515337423312883,0.5,5.940874989100755e-14,0.0026648613437511015,↓ in OB,True
Anaerofilum,,,unclassified,9.306537636280356e-14,0.00018204510530471415,0.00010489995914676861,6.44290427352703e-05,9.635641545550859e-05,-0.7032224122636538,-0.20912522620345664,0.4156441717791411,0.1960431654676259,4.719744086970752e-13,0.0006638774029678405,↓ in OB,True
Barnesiella,,,unclassified,2.2206709973162972e-13,4.502333557894681e-06,0.010147450906237273,0.005647789890981038,0.012960493782184605,-0.8453589233720747,-0.2544443338559923,0.754601226993865,0.5305755395683454,1.0511176053963808e-12,2.4589667893117102e-05,↓ in OB,True
Clostridium_sensu_stricto,,,unclassified,3.7510513182871e-13,0.2055800718647356,0.014045083090143939,0.006538245737440861,0.01609793920402554,-1.1030895351064973,-0.3320275752098889,0.8450920245398773,0.7248201438848921,1.6645290224899007e-12,0.27539971891313636,↓ in OB,True
Bifidobacterium,,,unclassified,4.2248212980048674e-13,6.330603460586025e-08,0.006166318279632621,0.003615305098489834,0.00951021422379716,-0.7702917896770825,-0.23183129816678605,0.6242331288343558,0.4010791366906475,1.7644841891667388e-12,5.618410571270098e-07,↓ in OB,True
Mogibacterium,,,unclassified,5.780686061448862e-13,0.0005864796329479058,0.0005365905713346444,0.00029228704005531824,0.0007405919402088435,-0.8764335955827296,-0.2631587705933027,0.4217791411042945,0.22122302158273383,2.160151107172996e-12,0.0016656021575720526,↓ in OB,True
Clostridium_IV,,,unclassified,5.732980885195446e-13,0.006383239071445378,0.015146158751879675,0.008448788092038346,0.016144029322277778,-0.8421355609423106,-0.2534853594874087,0.8941717791411042,0.8363309352517986,2.160151107172996e-12,0.014162811689769432,↓ in OB,True
Butyricicoccus,,,unclassified,7.155045287607273e-13,6.429071111819018e-07,0.0004209363743295238,0.0008296768243919041,0.0001935800028309333,0.9789456164976531,0.29418512726798207,0.3343558282208589,0.49640287769784175,2.540041077100582e-12,4.564640489391503e-06,↑ in OB,True
Parabacteroides,,,unclassified,7.770839414459985e-13,0.7661189173183172,0.02641121605344675,0.015533913429998993,0.02781850060357743,-0.7657293598911751,-0.23049600372502388,0.9447852760736196,0.8938848920863309,2.627283802031709e-12,0.8232651937091392,↓ in OB,True
Megasphaera,,,unclassified,1.1469497049770956e-12,0.030990206667177556,0.0005626974922728155,0.0031040317758563975,0.0007050444378145134,2.463709788324395,0.7410199461858884,0.07975460122699386,0.21402877697841727,3.701519502426081e-12,0.05641806854793863,↑ in OB,True
Acetanaerobacterium,,,unclassified,2.1145758914112785e-10,0.004915854912141355,0.00037465270294019336,0.00040285999398344594,0.00043348431117891536,0.10472441626670906,0.03144431639704637,0.5383435582822086,0.3327338129496403,6.527603838704381e-10,0.011634189958734541,↑ in OB,True
Desulfovibrio,,,unclassified,3.1109457277760585e-10,0.8894330642381612,0.0023883298686668327,0.0009081646606709866,0.0025841700031436136,-1.3949753228725106,-0.41963356587537337,0.4616564417177914,0.2931654676258993,9.20321444467084e-10,0.9152137327668035,↓ in OB,True
Victivallis,,,unclassified,8.402753798502895e-10,0.12663457687965946,0.0007747068656272457,0.00016780677394848294,0.0005459252656961999,-2.206842835112289,-0.662307765126271,0.26993865030674846,0.13129496402877697,2.379992360817489e-09,0.18731364496782962,↓ in OB,True
