Genus,RF_Importance,Perm_Importance,Perm_Importance_std,Phylum,Family,Health_Association,Log2FC_OBvsH,q_value_HvsOB,LDA_Score_OBvsH,Direction,RF_Rank,Perm_Rank
Megasphaera,0.031619692776281114,0.01049217156087377,0.005156841734507609,,,unclassified,2.463709788324395,3.701519502426081e-12,0.7410199461858884,↑ in OB,1,1
Pseudoflavonifractor,0.02547339082593587,0.00688398321986096,0.0039106231209437075,,,unclassified,-0.9142431486178004,5.940874989100755e-14,-0.2747965372664405,↓ in OB,2,3
Sporobacter,0.023198933393768262,0.003177223024551157,0.003027666306236955,,,unclassified,-1.3912311310735193,2.106005491721226e-23,-0.4186917951310018,↓ in OB,3,7
Collinsella,0.02286700190051048,0.004016229970428354,0.003464751308731742,,,unclassified,1.8623821409020984,2.496052142421218e-16,0.5604473263672181,↑ in OB,4,5
Lachnospira,0.022325212908777602,0.0019783141920545607,0.002627479569436144,,,unclassified,0.8946751670330263,2.8214528089710497e-17,0.269267705103779,↑ in OB,5,11
Eggerthella,0.022081557839764576,0.0020631318341240916,0.0019460306651752845,,,unclassified,0.2382739305865312,0.0033269826272813,0.0715252570630191,↑ in OB,6,10
Anaerotruncus,0.022025595097000302,0.00015817344061608285,0.0026145155993193983,,,unclassified,0.991741856860494,2.5270747976468616e-07,0.2984358886427798,↑ in OB,7,37
Howardella,0.020996073345208352,0.005251816702198279,0.003479728860324876,,,unclassified,-0.4390477824255788,0.0310384711656977,-0.1320491730299853,↓ in OB,8,4
Oscillibacter,0.02048201995462141,0.0009903032803795194,0.0026080225457480633,,,unclassified,-0.085848092179398,4.206356110537497e-06,-0.0258416064156432,↓ in OB,9,20
Streptococcus,0.02035678527098742,0.0015060862389105608,0.0032380071077622893,,,unclassified,1.4111296492713388,4.7899686249799735e-08,0.4246662754472754,↑ in OB,10,17
Acidaminococcus,0.019532429325833624,-0.0005295371707586575,0.003079845769530769,,,unclassified,1.4213184536419834,0.0007324008329286,0.4275442524806783,↑ in OB,11,54
Roseburia,0.018708219269577088,0.007351626435595829,0.0023467194631974137,,,unclassified,0.0578234665968875,0.8893780041258731,0.0174062109222798,↑ in OB,12,2
Clostridium_IV,0.018438536091138488,0.00027508424454981327,0.002783317013251912,,,unclassified,-0.8421355609423106,2.160151107172996e-12,-0.2534853594874087,↓ in OB,13,34
Clostridium_XlVa,0.017943505464393553,-0.0027645966577265,0.0023661243010977603,,,unclassified,-0.3082826288333015,0.0016620237976459,-0.0927980945109889,↓ in OB,14,70
Enterobacter,0.017686877778228024,-0.002193796850285501,0.0013428683349109866,,,unclassified,-0.4226743341218885,0.00837426166019,-0.1271509559958428,↓ in OB,15,69
Anaerostipes,0.017668083117522975,-0.0004699355844394552,0.0029144698264564222,,,unclassified,-0.7959223142138225,1.6957779954600521e-15,-0.2395799112613423,↓ in OB,16,53
Lactobacillus,0.016491464025815753,0.0009398711688786958,0.0029252277428800997,,,unclassified,0.7705966313164436,0.1822076447359759,0.231843939471692,↑ in OB,17,21
Gemmiger,0.016323248395995353,0.003012172477821251,0.001973254150244711,,,unclassified,-0.5452253475754923,1.5025400250588361e-18,-0.1641157471845233,↓ in OB,18,8
Actinomyces,0.016147204086705693,-0.001329573848657902,0.0026727288949847344,,,unclassified,-0.234103866495298,0.005555464502332,-0.0693713846809265,↓ in OB,19,63
Ruminococcus,0.01564562765486605,-0.001542764138184083,0.002119642909393951,,,unclassified,-0.3219134615931384,0.0030175152748559,-0.0969015641381121,↓ in OB,20,65
Desulfovibrio,0.0156422998704358,0.002535359787268125,0.0023530514327197677,,,unclassified,-1.3949753228725106,9.20321444467084e-10,-0.4196335658753733,↓ in OB,21,9
Butyricicoccus,0.014798363167057137,-0.00026591476973164183,0.0018846059315045498,,,unclassified,0.9789456164976532,2.540041077100582e-12,0.294185127267982,↑ in OB,22,47
Alistipes,0.01448544071942054,-0.00013524975357047294,0.0017873847370399236,,,unclassified,-0.9495687031047472,7.43560152843838e-17,-0.2858414924372641,↓ in OB,23,44
Coprobacillus,0.014370282962151846,-0.0001765123902529401,0.002097512354044977,,,unclassified,-0.0745805459501836,0.6663433579393991,-0.0223879697537898,↓ in OB,24,45
Clostridium_XlVb,0.014218063447597773,0.003204731449006215,0.0017195149182549008,,,unclassified,0.211712201561918,0.0263632356679281,0.0636918907348644,↑ in OB,25,6
Barnesiella,0.014169805819626478,0.0005318295394630135,0.0025458258754650622,,,unclassified,-0.8453589233720747,1.0511176053963808e-12,-0.2544443338559923,↓ in OB,26,28
Dorea,0.013897059336956487,0.001927882080553752,0.001408434391568598,,,unclassified,0.0590031687059448,0.610823094326206,0.0177607034595144,↑ in OB,27,12
Prevotella,0.01384903923889756,-1.3754212227586512e-05,0.0014712721658168924,,,unclassified,0.3961438258568307,0.5376773877128737,0.1192500155681154,↑ in OB,28,41
Flavonifractor,0.013777049561316722,0.00011691080393364159,0.0014009899062190937,,,unclassified,0.0815596721209318,0.173266942664088,0.0245438684230943,↑ in OB,29,38
Ruminococcus2,0.013465244334084974,-0.0010292735483575972,0.0015777909351507287,,,unclassified,0.1740322449543222,0.2328180095413059,0.0523867666543427,↑ in OB,30,56
Methanobrevibacter,0.013404924043225748,0.0006028929693050873,0.0013017768282016558,,,unclassified,-1.8174917024372628,7.43560152843838e-17,-0.5469321998363017,↓ in OB,31,27
Lachnospiracea_incertae_sedis,0.013137295809484594,-0.000676248767851891,0.0017371632963862568,,,unclassified,0.5243621037544649,2.928690119415896e-05,0.1578453023611687,↑ in OB,32,55
Allisonella,0.013057465213252214,0.0007266808793525555,0.0017511371374601165,,,unclassified,2.10710947803286,0.2058111337671495,0.6329941796214,↑ in OB,33,25
Blautia,0.01283659508418457,0.00043784242257514466,0.0011637672065537398,,,unclassified,0.1252971345184007,0.8893780041258731,0.0377176723914043,↑ in OB,34,30
Parabacteroides,0.012762594578256514,0.00010086422300157698,0.0015498921637526035,,,unclassified,-0.7657293598911751,2.627283802031709e-12,-0.2304960037250238,↓ in OB,35,39
Phascolarctobacterium,0.012619991925290302,0.00024757582009482895,0.0013421931327796458,,,unclassified,0.1960808724900707,0.0003191522746007,0.0590115904795776,↑ in OB,36,35
Coprococcus,0.012588449012240049,0.0012860188432706606,0.0013053404420325845,,,unclassified,-0.7234119739698524,2.8967748385711052e-09,-0.2177599751260799,↓ in OB,37,19
Clostridium_XVIII,0.012494227347487813,-0.0010521972354034217,0.0015250179866968902,,,unclassified,-0.1755199919465922,0.0001931067554247,-0.0528198089784468,↓ in OB,38,57
Mogibacterium,0.012380851667091025,-0.00028196135066372864,0.0018016924297463738,,,unclassified,-0.8764335955827296,2.160151107172996e-12,-0.2631587705933027,↓ in OB,39,48
Holdemania,0.012064619179220389,-0.00039428741718825486,0.0014216308928147326,,,unclassified,0.3002219476676573,0.3011651128962346,0.0898362368648646,↑ in OB,40,52
Clostridium_XI,0.012011520198894532,-0.0014327304403641272,0.0015018864301112882,,,unclassified,-0.0521367267695219,0.0552516860297501,-0.0156937285843663,↓ in OB,41,64
Erysipelotrichaceae_incertae_sedis,0.011945573171219793,-0.0002521605575041478,0.0012943258568638716,,,unclassified,0.2837057751566543,0.1163256217921212,0.0853992556211398,↑ in OB,42,46
Akkermansia,0.011761260378082982,0.0007518969351029506,0.002098958681718643,,,unclassified,-1.25269301466068,6.342048632735376e-20,-0.3770756197468896,↓ in OB,43,24
Anaerofilum,0.011752272758395329,-0.0011186759278363138,0.0013397635098689501,,,unclassified,-0.7032224122636538,4.719744086970752e-13,-0.2091252262034566,↓ in OB,44,61
Anaerovorax,0.011568102278011961,0.0018682804942345903,0.0015852272425084565,,,unclassified,0.792150026644164,0.2121379910218336,0.2380779996276785,↑ in OB,45,13
Dialister,0.01148699926944228,0.0017834628521650445,0.001340822112618358,,,unclassified,-0.2326267909045294,0.219785459878936,-0.0700207168101345,↓ in OB,46,14
Odoribacter,0.011414166720886411,-0.002147949476193826,0.0007580811663462676,,,unclassified,-0.3720185464252279,0.0001045066285959,-0.1119369767465565,↓ in OB,47,68
Clostridium_sensu_stricto,0.011152980120955863,0.00036448662402853714,0.0012303615012819705,,,unclassified,-1.103089535106497,1.6645290224899009e-12,-0.3320275752098889,↓ in OB,48,32
Paraprevotella,0.011004722034459749,0.0008573458955137355,0.001326614189369027,,,unclassified,-0.1280493957884126,0.2660531583756286,-0.0385372902374743,↓ in OB,49,22
Lactococcus,0.010966478645618937,0.0004974440088942767,0.001403860145200102,,,unclassified,0.6779692337000649,0.2772127901314853,0.2031634860183691,↑ in OB,50,29
Clostridium_III,0.010843395187686816,-0.0015565183504115696,0.001534635984103224,,,unclassified,-0.6072868511503746,2.379992360817489e-09,-0.1799346041222689,↓ in OB,51,66
Gordonibacter,0.010699918639583129,-0.0011117988217225463,0.0013833167842077602,,,unclassified,-0.6199550969908604,0.004542752448626,-0.185092464939772,↓ in OB,52,60
Faecalibacterium,0.010630735551869835,-0.0018636957568256526,0.0010701728786727995,,,unclassified,0.4953201684594525,6.527959797478244e-09,0.1491045720057926,↑ in OB,53,67
Turicibacter,0.010618430548115596,0.0016459207298901047,0.0008892381570190095,,,unclassified,0.1763650934404694,0.0013089538521758,0.0530577038715658,↑ in OB,54,15
Acetanaerobacterium,0.010460247736874791,0.0003988721545972851,0.0013207386352996136,,,unclassified,0.104724416266709,6.52760383870438e-10,0.0314443163970463,↑ in OB,55,31
Porphyromonas,0.010362400667204067,-0.0034087522637142025,0.0013530821576393862,,,unclassified,-0.1761261176620097,0.0012390051314907,-0.0523867126296195,↓ in OB,56,71
Eubacterium,0.010327500920582234,-0.0010636590789263785,0.001301298384798407,,,unclassified,0.0911968646419415,6.9415912867299994e-15,0.0274228335009856,↑ in OB,57,58
Bacteroides,0.01028484238970286,-0.00028196135066376935,0.001082039309838936,,,unclassified,0.0119866274644995,0.8956692088583651,0.0036083175733749,↑ in OB,58,49
Butyricimonas,0.010282768793126028,0.0001627581780252574,0.0009261538380866685,,,unclassified,-0.1826685566879836,5.6420710929472334e-05,-0.0549319056327122,↓ in OB,59,36
Catenibacterium,0.010127897067351484,-4.12626366825708e-05,0.0009107255148412085,,,unclassified,0.4023483936991482,0.0672511640459035,0.121108521402824,↑ in OB,60,43
Escherichia/Shigella,0.010071316034006982,-0.00033697819957375643,0.0012852831134452126,,,unclassified,-0.0323677308101255,5.84094579714345e-09,-0.0097422124004413,↓ in OB,61,50
Sutterella,0.009965157733973721,0.0014739930770464316,0.0010665330083574015,,,unclassified,1.0757291948188257,0.0001116429826526,0.3236744559712181,↑ in OB,62,18
Bifidobacterium,0.00989103481792003,-0.0010842903972675733,0.0013115494608411289,,,unclassified,-0.7702917896770825,1.7644841891667388e-12,-0.231831298166786,↓ in OB,63,59
