n_estimators,max_depth,min_samples_leaf,CV_AUC_mean,CV_AUC_std,rank,Train_AUC_mean
100,,2,0.769281804337984,0.02034430917895699,1,1.0
300,,2,0.7689072725027781,0.018506085993779623,2,1.0
100,10,1,0.7675247973000782,0.014169652687122775,3,0.9999770710657059
500,,2,0.7673780713668353,0.018775980163242532,4,1.0
100,,1,0.7669240029633289,0.014127303827251627,5,1.0
500,,1,0.7668960159690498,0.016926407026043564,6,1.0
100,10,2,0.7662258715067705,0.01964786328629675,7,0.9998719574470071
300,,1,0.7659956990574968,0.014763026865643857,8,1.0
300,10,2,0.7658324072930813,0.016980049374879583,9,0.9999744025004716
500,10,2,0.7657443305757912,0.01693126922352752,10,0.999971704788287
300,,4,0.7648145861629008,0.017378238707405257,11,0.9992141334469158
300,10,1,0.7644126846935836,0.014723568566038937,12,0.9999973055263653
500,10,1,0.7643721447092233,0.015989566970588766,13,1.0
500,10,4,0.764306498744701,0.01876123919673232,14,0.9983527471454124
500,,4,0.7638136395439766,0.018107924979615095,15,0.9992990028893047
300,10,4,0.7636909906572827,0.017912462739217396,16,0.9981506810541196
100,,4,0.7581501831501832,0.018936645671968812,17,0.9986774733195294
100,10,4,0.7572329917273737,0.01817122730642916,18,0.9974469052674886
500,5,4,0.7546160019755526,0.013880063718701837,19,0.9259940826509061
500,5,1,0.7545694941762358,0.01448192731683476,20,0.9368384289975108
500,5,2,0.7535794542536116,0.013629455351754973,21,0.9334145723611258
300,5,1,0.7532734493970449,0.01573690491291455,22,0.9369871496925191
300,5,2,0.7525029839074782,0.014264955008630628,23,0.9335833137724912
300,5,4,0.7517232580153929,0.013535378003299731,24,0.9260319834020425
100,5,1,0.750282339383463,0.01215257584884203,25,0.9354570870097353
100,5,2,0.7493054698110879,0.014332628260296762,26,0.9322239388696476
100,5,4,0.748410297567601,0.01381925951202168,27,0.9241598423940192
