SampleID,Dataset,DiseaseState,Acetanaerobacterium,Acidaminococcus,Actinomyces,Akkermansia,Alistipes,Allisonella,Anaerofilum,Anaerosporobacter,Anaerostipes,Anaerotruncus,Anaerovorax,Bacteroides,Barnesiella,Bifidobacterium,Blautia,Butyricicoccus,Butyricimonas,Catenibacterium,Clostridium_III,Clostridium_IV,Clostridium_XI,Clostridium_XVIII,Clostridium_XlVa,Clostridium_XlVb,Clostridium_sensu_stricto,Collinsella,Coprobacillus,Coprococcus,Desulfovibrio,Dialister,Dorea,Eggerthella,Enterobacter,Erysipelotrichaceae_incertae_sedis,Escherichia/Shigella,Eubacterium,Faecalibacterium,Flavonifractor,Gemmiger,Gordonibacter,Haemophilus,Hespellia,Holdemania,Howardella,Lachnobacterium,Lachnospira,Lachnospiracea_incertae_sedis,Lactobacillus,Lactococcus,Megasphaera,Methanobrevibacter,Mogibacterium,Odoribacter,Oscillibacter,Parabacteroides,Paraprevotella,Parasutterella,Phascolarctobacterium,Porphyromonas,Prevotella,Pseudoflavonifractor,Roseburia,Ruminococcus,Ruminococcus2,Sporobacter,Streptococcus,Subdoligranulum,Sutterella,Turicibacter,Veillonella,Victivallis
TS19,ob_gordon,OB,6,444,2,0,66,0,0,0,134,0,0,5124,97,0,2343,4,0,0,0,122,51,5,534,14,62,62,3,550,0,1,195,5,0,28,0,0,207,27,0,0,0,0,5,0,0,120,1965,0,0,304,0,0,0,4,313,0,0,362,0,6,0,1294,0,216,0,24,9,0,5,0,0
TS20,ob_gordon,OB,0,0,0,30,511,0,0,0,134,1,32,1801,176,0,1043,25,0,0,0,75,244,14,218,15,5,64,10,132,0,779,302,7,0,20,0,0,5029,81,0,0,0,0,6,0,0,116,1710,0,0,1,0,2,38,14,372,0,0,0,0,4767,4,1259,2051,207,0,23,36,38,60,52,0
TS21,ob_gordon,OB,3,44,0,19,89,0,2,0,137,3,7,4366,0,0,2770,14,0,0,0,45,85,15,356,16,53,64,23,53,0,214,125,5,0,8,2,0,1408,45,0,3,0,0,14,0,0,169,2733,0,0,216,0,0,0,25,149,0,0,0,0,10,10,804,249,277,0,29,981,151,0,0,0
TS14,ob_gordon,H,0,0,0,0,34,0,1,0,128,0,13,103,1,4,2666,9,0,0,0,19,151,38,21,2,5,14,8,44,1,127,365,79,0,3,0,0,1210,7,0,1,0,0,2,0,0,34,671,0,3,0,0,0,0,20,5,0,0,0,0,3,1,115,589,399,0,81,1460,3,55,0,0
TS27,ob_gordon,OB,3,0,1,0,61,0,1,0,14,9,11,1494,34,1,226,1,0,0,0,70,691,19,97,4,3,84,10,24,3,0,31,0,0,137,1,0,94,28,0,0,0,0,1,0,0,2,257,7,0,0,0,1,22,410,211,0,1,0,0,2,3,13,1587,374,1,74,96,2,628,0,0
TS8,ob_gordon,H,5,0,0,5,540,0,0,0,15,13,1,2402,89,0,290,12,19,0,0,59,128,45,36,5,27,0,1,159,28,138,121,0,0,153,0,0,2963,12,0,4,0,0,1,0,0,54,399,0,0,0,0,0,14,391,114,0,1,0,0,2,6,111,928,167,7,5,713,57,17,0,0
TS28,ob_gordon,OB,1,0,0,0,38,0,2,0,11,0,0,770,0,0,231,12,0,0,0,9,33,9,15,2,1,0,3,11,0,7,51,0,0,1,0,0,1353,22,0,0,0,0,0,0,0,115,239,0,0,0,0,0,0,61,19,0,7,21,0,0,3,27,342,63,0,2,372,0,1,0,0
TS6,ob_gordon,OB,1,0,0,4,46,0,0,0,27,2,31,1049,3,1,296,9,9,0,0,7,1,1,292,3,17,12,1,36,0,1,80,0,0,1,1,0,1271,10,0,1,0,0,0,5,0,48,205,7,0,0,0,0,5,28,58,38,0,0,0,841,0,122,128,112,4,9,48,39,1,0,0
TS4,ob_gordon,H,0,0,0,0,70,0,0,0,21,0,0,3341,52,0,354,4,3,0,0,4,68,7,800,6,0,0,2,59,0,84,110,2,0,1,0,0,251,43,0,1,0,0,3,0,0,38,130,0,0,0,0,0,9,16,229,0,0,0,0,0,2,41,0,293,0,0,94,122,0,0,0
TS7,ob_gordon,H,1,0,0,0,155,0,0,0,11,0,3,1131,2,0,405,10,11,0,0,131,83,6,79,2,150,39,0,75,2,2,113,0,0,684,0,0,1221,14,0,2,0,0,0,0,0,1,427,0,0,0,0,0,8,141,70,7,0,139,0,1267,10,347,194,280,0,1,70,25,1,0,0
TS5,ob_gordon,H,5,0,0,2,3,0,0,0,68,0,1,648,2,0,1882,18,0,0,0,23,33,71,429,36,20,8,32,120,0,0,439,3,0,16,0,0,581,29,0,1,0,0,2,0,0,165,2450,0,4,0,0,0,0,14,4,0,0,0,0,2,3,34,15,231,0,2,235,0,0,0,0
TS148,ob_gordon,OB,1,0,0,5,60,0,0,0,5,27,2,975,16,0,128,7,7,0,0,4,30,0,84,2,21,4,0,27,8,38,41,0,0,0,0,1,624,3,0,0,0,0,2,0,0,0,226,8,0,74,0,0,13,50,74,10,0,0,0,0,5,60,98,58,0,0,28,109,3,0,2
TS51,ob_gordon,OB,1,15,0,155,386,0,3,0,6,399,21,293,80,18,797,16,0,0,0,73,57,15,311,0,0,447,31,239,4,89,438,10,0,9,3,0,65,86,0,0,0,0,9,0,0,0,377,4,2,149,0,0,4,332,75,0,0,6,0,260,1,65,3,382,0,27,352,0,33,0,0
TS33,ob_gordon,OW,2,0,2,53,106,0,1,0,21,51,7,611,43,0,1319,8,17,580,0,284,0,0,60,24,0,8,0,227,0,476,369,0,0,541,0,0,1026,19,0,2,0,0,0,0,0,38,2278,53,0,0,0,2,6,200,39,0,0,0,0,209,0,129,182,410,6,86,623,60,0,0,0
TS2,ob_gordon,H,1,0,0,99,435,0,1,0,52,35,8,1623,0,0,245,10,0,0,0,396,41,197,50,7,0,168,4,2,0,34,11,0,0,34,1,2,681,62,0,69,0,0,3,0,1,2,427,0,0,0,0,1,45,870,253,0,0,1,0,0,21,84,907,472,0,1,246,1,20,0,0
TS149,ob_gordon,OB,0,0,0,0,43,0,1,0,50,22,1,2451,18,0,495,8,5,0,0,20,26,39,50,1,3,51,8,19,0,0,115,0,0,3,0,0,1614,1,0,2,1,0,3,0,0,48,372,22,4,0,0,0,15,50,13,69,0,0,0,0,1,742,0,134,1,32,139,104,38,1,0
TS3,ob_gordon,OW,0,0,0,0,84,0,1,0,4,5,0,1090,1,2,514,1,1,0,0,30,2,265,45,24,0,6,1,31,0,0,38,1,0,1,0,0,1140,11,0,4,0,0,3,0,0,20,704,0,0,0,0,1,0,32,19,0,2,45,0,0,0,86,97,86,0,0,487,6,0,0,0
TS57,ob_gordon,OB,0,34,0,0,0,0,0,0,7,0,0,1141,0,0,3349,3,0,0,0,1,4,67,253,0,5,0,0,5,0,17,0,2,0,18,0,0,38,2,0,0,0,0,0,0,0,0,510,1,0,0,0,0,0,6,44,0,0,0,0,0,0,122,3,0,0,4,0,69,0,2,0
TS15,ob_gordon,OW,0,0,1,19,189,0,0,0,24,0,5,459,10,0,391,44,0,0,0,48,7,2,59,11,77,5,1,27,1,324,93,0,0,0,0,0,2310,8,0,4,0,0,0,2,0,1,921,0,3,0,0,0,27,163,35,0,11,0,0,2556,10,148,364,86,25,24,380,0,3,7,0
TS9,ob_gordon,OW,0,0,0,7,176,0,0,0,6,0,0,3424,0,0,248,4,0,0,0,8,2,3,90,11,18,2,0,363,0,42,31,0,0,0,0,0,1079,7,0,1,0,0,1,0,0,0,661,0,0,0,0,1,0,99,27,0,23,1,0,2,1,255,302,132,3,13,243,0,0,0,0
TS13,ob_gordon,H,0,0,0,0,89,0,0,0,31,2,2,1406,67,0,238,16,5,0,0,43,5,16,32,8,0,0,0,84,8,0,66,3,0,3,0,0,992,8,0,2,0,0,1,0,0,2,456,0,0,0,0,0,14,117,12,0,0,60,0,0,1,32,211,75,0,6,536,21,1,0,0
TS49,ob_gordon,OB,1,0,1,1,1,0,0,0,27,0,7,342,0,3,837,5,0,686,0,78,22,6,61,26,0,42,8,555,0,0,462,2,0,616,0,1,106,57,0,0,0,0,5,0,0,7,1800,0,0,0,0,2,0,9,7,0,0,0,0,22,0,27,0,275,0,18,1040,0,0,0,0
TS31,ob_gordon,H,0,0,0,30,681,0,0,0,37,99,18,3544,0,0,1272,4,51,0,0,40,20,23,77,18,0,0,3,79,0,0,133,1,0,145,0,0,2387,27,1,0,0,0,6,0,0,225,1215,0,3,0,0,2,19,453,68,0,41,0,0,1,0,17,676,481,0,29,529,1,1,0,0
TS32,ob_gordon,H,1,47,0,0,130,10,0,0,14,0,1,1041,65,0,471,15,20,397,0,27,23,0,116,33,0,8,0,42,21,0,107,0,0,18,0,0,1307,6,0,0,0,0,3,0,0,20,254,0,0,0,0,0,9,21,44,50,0,0,0,1725,0,10,0,138,0,2,157,272,1,0,0
TS1,ob_gordon,H,1,0,0,6,146,0,0,0,3,54,0,1205,108,0,48,14,5,0,0,287,8,0,9,0,0,0,0,13,3,32,7,0,0,1,0,1,689,6,0,9,0,0,0,0,0,0,89,0,0,0,0,0,12,238,58,0,1,0,0,0,4,3,185,34,0,0,399,1,1,0,0
TS30,ob_gordon,OW,0,0,0,0,109,0,0,0,171,0,0,767,28,0,1873,4,0,0,0,26,0,45,96,14,0,0,0,0,1,0,0,1,0,0,0,0,842,20,0,0,0,0,2,0,0,39,682,0,0,0,0,0,0,11,50,31,0,46,0,0,0,62,65,88,0,1,8,0,0,0,0
TS26,ob_gordon,H,0,0,0,5,359,0,1,0,35,7,0,6360,0,0,656,3,0,0,0,328,34,75,35,11,61,3,0,95,1,0,106,5,0,7,0,0,419,10,0,0,0,0,1,0,0,0,415,0,0,0,0,2,37,300,68,0,0,113,0,2,17,24,706,201,0,35,95,0,35,0,0
TS56,ob_gordon,OB,0,0,0,0,20,0,0,0,17,0,0,1417,0,0,307,5,6,0,0,1,7,5,74,0,4,0,0,30,0,61,54,0,0,0,1,0,638,3,0,0,0,0,0,0,0,57,386,0,0,0,0,0,6,5,0,0,63,0,0,0,0,140,31,150,0,0,10,1,0,0,0
TS50,ob_gordon,OB,0,0,0,0,0,0,0,0,117,0,0,27,0,3,2196,2,0,0,0,26,75,270,9,0,3,348,0,167,0,295,425,0,0,6,0,0,90,0,0,0,0,0,0,0,0,15,3348,0,17,0,0,0,0,0,0,0,7,0,0,0,0,28,86,207,0,48,0,0,7,0,0
TS55,ob_gordon,OB,0,0,0,0,0,11,0,0,63,0,0,611,0,1,600,2,0,0,0,10,45,7,69,3,0,0,0,81,0,0,113,6,0,7,0,0,159,5,0,0,0,0,1,0,0,13,158,0,16,0,0,0,0,0,6,8,0,0,0,0,0,24,0,156,0,6,6,0,1,63,0
TS150,ob_gordon,OB,1,0,0,40,4,0,0,0,2,0,3,34,0,0,1189,29,0,0,0,45,0,4,346,4,0,71,0,93,0,0,263,0,0,6,0,0,0,1,0,0,0,0,0,0,0,244,1514,0,1,0,0,0,0,0,2,5,8,11,0,0,0,144,0,335,0,13,72,0,46,0,0
