SampleID,Dataset,DiseaseState,Acetanaerobacterium,Acidaminococcus,Actinomyces,Akkermansia,Alistipes,Allisonella,Anaerofilum,Anaerosporobacter,Anaerostipes,Anaerotruncus,Anaerovorax,Bacteroides,Barnesiella,Bifidobacterium,Blautia,Butyricicoccus,Butyricimonas,Catenibacterium,Clostridium_III,Clostridium_IV,Clostridium_XI,Clostridium_XVIII,Clostridium_XlVa,Clostridium_XlVb,Clostridium_sensu_stricto,Collinsella,Coprobacillus,Coprococcus,Desulfovibrio,Dialister,Dorea,Eggerthella,Enterobacter,Erysipelotrichaceae_incertae_sedis,Escherichia/Shigella,Eubacterium,Faecalibacterium,Flavonifractor,Gemmiger,Gordonibacter,Haemophilus,Hespellia,Holdemania,Howardella,Lachnobacterium,Lachnospira,Lachnospiracea_incertae_sedis,Lactobacillus,Lactococcus,Megasphaera,Methanobrevibacter,Mogibacterium,Odoribacter,Oscillibacter,Parabacteroides,Paraprevotella,Parasutterella,Phascolarctobacterium,Porphyromonas,Prevotella,Pseudoflavonifractor,Roseburia,Ruminococcus,Ruminococcus2,Sporobacter,Streptococcus,Subdoligranulum,Sutterella,Turicibacter,Veillonella,Victivallis
TS19,ob_gordon,OB,0.09793991209337705,4.323087790145745,-0.8575715329340592,-2.4670094453681597,2.423339682853594,-2.4670094453681597,-2.4670094453681597,-2.4670094453681597,3.1277019342336794,-2.4670094453681597,-2.4670094453681597,6.767925973463404,2.805990113195587,-2.4670094453681597,5.985538552554546,-0.26978486803194013,-2.4670094453681597,-2.4670094453681597,-2.4670094453681597,3.0342487651765677,2.167719542861476,-0.06911417256978902,4.507469465656886,0.9002863846183145,2.361304291934142,2.361304291934142,-0.5210992963128462,4.53696469135452,-2.4670094453681597,-1.36839715670005,3.501698114617206,-0.06911417256978902,-2.4670094453681597,1.5760418224663906,-2.4670094453681597,-2.4670094453681597,3.561269074862539,1.5403237398643115,-2.4670094453681597,-2.4670094453681597,-2.4670094453681597,-2.4670094453681597,-0.06911417256978902,-2.4670094453681597,-2.4670094453681597,3.017787488122495,5.809639680053701,-2.4670094453681597,-2.4670094453681597,3.9448088223417375,-2.4670094453681597,-2.4670094453681597,-2.4670094453681597,-0.26978486803194013,3.9739370952647612,-2.4670094453681597,-2.4670094453681597,4.119162209486515,-2.4670094453681597,0.09793991209337705,-2.4670094453681597,5.392017534383378,-2.4670094453681597,3.60372828263433,-2.4670094453681597,1.4248108527424672,0.477429533798281,-2.4670094453681597,-0.06911417256978902,-2.4670094453681597,-2.4670094453681597
TS20,ob_gordon,OB,-2.967063580500362,-2.967063580500362,-2.967063580500362,1.1438102836729493,3.963431185451265,-2.967063580500362,-2.967063580500362,-2.967063580500362,2.627647799101477,-1.8684512918322522,1.2073236893952752,5.2224585302477315,2.8994044764329345,-2.967063580500362,4.676419326576839,0.9647620522239637,-2.967063580500362,-2.967063580500362,-2.967063580500362,2.0502162563145623,3.2252989089745103,0.40023224948611213,3.112869614595228,0.46692362398478426,-0.5691683077019913,1.89274882386131,0.077458857223061,2.61266624548586,-2.967063580500362,4.384736288557415,3.43816487753048,-0.25901337939815194,-2.967063580500362,0.7465084862039459,-2.967063580500362,-2.967063580500362,6.2491594546339755,2.1266866203064003,-2.967063580500362,-2.967063580500362,-2.967063580500362,-2.967063580500362,-0.40211422303882527,-2.967063580500362,-2.967063580500362,2.483974873065339,5.170624604477243,-2.967063580500362,-2.967063580500362,-1.8684512918322522,-2.967063580500362,-1.3576256680662615,1.3767418413533221,0.40023224948611213,3.6463206378791977,-2.967063580500362,-2.967063580500362,-2.967063580500362,-2.967063580500362,6.195660937534157,-0.7698390031641424,4.864553695852249,5.352410111941825,3.0612149397303368,-2.967063580500362,0.8830840212096969,1.3233958606480294,1.3767418413533221,1.8287269650963793,1.6868967696571615,-2.967063580500362
TS21,ob_gordon,OB,-0.8589320938104574,1.6837941268663692,-2.804842242865771,0.8587194032638754,2.382543562974984,-2.804842242865771,-1.1954043304316704,-2.804842242865771,2.811928854800801,-0.8589320938104574,-0.09679204176356082,6.270021989547962,-2.804842242865771,-2.804842242865771,5.815088026001579,0.5624535871207033,-2.804842242865771,-2.804842242865771,-2.804842242865771,1.7060172636510793,2.3368213136368894,0.6291449616193754,3.764639177548525,0.6916653186007093,1.8679865915961353,2.054970161495901,1.045305358844288,1.8679865915961353,-2.804842242865771,3.256614676062246,2.7206106962660135,-0.4069469700674002,-2.804842242865771,0.02837110119044528,-1.1954043304316704,-2.804842242865771,5.138585525010602,1.7060172636510793,-2.804842242865771,-0.8589320938104574,-2.804842242865771,-2.804842242865771,0.5624535871207033,-2.804842242865771,-2.804842242865771,3.021157864514679,5.801643056029229,-2.804842242865771,-2.804842242865771,3.265895485136719,-2.804842242865771,-2.804842242865771,-2.804842242865771,1.1269833898585548,2.895601330524916,-2.804842242865771,-2.804842242865771,-2.804842242865771,-2.804842242865771,0.23968019485765213,0.23968019485765213,4.578525904126613,3.407763852885748,3.5141258708806635,-2.804842242865771,1.2726952010399488,4.777386951410691,2.908890562643598,-2.804842242865771,-2.804842242865771,-2.804842242865771
TS14,ob_gordon,H,-2.273717666946184,-2.273717666946184,-2.273717666946184,-2.273717666946184,1.9603888376510756,-2.273717666946184,-1.1751053782780743,-2.273717666946184,3.275358417949036,-2.273717666946184,1.022119199058145,3.0590011263191847,-1.1751053782780743,-0.07649308960996448,6.3079515436544185,0.6707213122202567,-2.273717666946184,-2.273717666946184,-2.273717666946184,1.3898439791834623,3.4400151385631847,2.0700877549075,1.4874824487473783,-0.6642797545120835,0.12417760585218662,1.09357816304029,0.5594956771100321,2.214918702785956,-1.1751053782780743,3.2675458782122426,4.320695792803595,2.7951865352740475,-2.273717666946184,-0.3278075178908706,-2.273717666946184,-2.273717666946184,5.518218289991874,0.434332534156026,-2.273717666946184,-1.1751053782780743,-2.273717666946184,-2.273717666946184,-0.6642797545120835,-2.273717666946184,-2.273717666946184,1.9603888376510756,4.928943529577054,-2.273717666946184,-0.3278075178908706,-2.273717666946184,-2.273717666946184,-2.273717666946184,-2.273717666946184,1.439854399758124,0.12417760585218662,-2.273717666946184,-2.273717666946184,-2.273717666946184,-2.273717666946184,-0.3278075178908706,-1.1751053782780743,3.168700043575609,4.798704233591187,4.4096432788200906,-2.273717666946184,2.8200325338605783,5.705963635441557,-0.3278075178908706,2.43581253436615,-2.273717666946184,-2.273717666946184
TS27,ob_gordon,OB,-0.45457725954273,-2.4004874085980434,-1.3018751199299337,-2.4004874085980434,2.4116969467743745,-2.4004874085980434,-1.3018751199299337,-2.4004874085980434,0.9668084213884307,0.5439515705683973,0.7350068073311062,5.602206753685895,1.8336190959992162,-1.3018751199299337,3.715404716884991,-1.3018751199299337,-2.4004874085980434,-2.4004874085980434,-2.4004874085980434,2.548272481780125,4.831522923066715,1.2630742375316029,2.8725121499657034,-0.20326283126182387,-0.45457725954273,2.72941130632503,0.6440350291253796,1.4913328895125835,-0.45457725954273,-2.4004874085980434,1.7426473177934891,-2.4004874085980434,-2.4004874085980434,3.2162836890685282,-1.3018751199299337,-2.4004874085980434,2.841259606461599,1.6425638592365068,-2.4004874085980434,-2.4004874085980434,-2.4004874085980434,-2.4004874085980434,-1.3018751199299337,-2.4004874085980434,-2.4004874085980434,-0.7910494961639429,3.843679492065693,0.3075627925041666,-2.4004874085980434,-2.4004874085980434,-2.4004874085980434,-1.3018751199299337,1.4061750811722762,4.310035700854385,3.646884770448235,-2.4004874085980434,-1.3018751199299337,-2.4004874085980434,-2.4004874085980434,-0.7910494961639429,-0.45457725954273,0.8953494574062857,5.662575502728749,4.218251574919176,-1.3018751199299337,2.6034588973474158,2.862202780306842,-0.7910494961639429,4.735995799992204,-2.4004874085980434,-2.4004874085980434
TS8,ob_gordon,H,-0.2294118206130782,-2.627307093411449,-2.627307093411449,-0.2294118206130782,4.35833472422776,-2.627307093411449,-2.627307093411449,-2.627307093411449,0.8066801110736974,0.6685297725928803,-1.528694804743339,5.850105227992945,2.560078712429306,-2.627307093411449,3.737443663440463,0.5915687314567522,1.0362545527181974,-2.627307093411449,-2.627307093411449,2.1518163997000808,2.9217689914837712,1.8835524131054013,1.6631523477369425,-0.2294118206130782,1.3800260918210223,-2.627307093411449,-1.528694804743339,3.1378840093733955,1.4157441744231014,2.9967104127758897,2.8657543499290994,-2.627307093411449,-2.627307093411449,3.099540654175748,-2.627307093411449,-2.627307093411449,6.05996636837639,0.5915687314567522,-2.627307093411449,-0.4300825160752293,-2.627307093411449,-2.627307093411449,-1.528694804743339,-2.627307093411449,-2.627307093411449,2.064040788817695,4.056053852354825,-2.627307093411449,-2.627307093411449,-2.627307093411449,-2.627307093411449,-2.627307093411449,0.7399887365750253,4.035825602579354,2.806414910142791,-2.627307093411449,-1.528694804743339,-2.627307093411449,-2.627307093411449,-1.0178691809773484,-0.06235773594991212,2.77986467804867,4.899410467941257,3.1868234384136174,0.0807431076907612,-0.2294118206130782,4.636022524065387,2.1176250349518013,0.9280409680779651,-2.627307093411449,-2.627307093411449
TS28,ob_gordon,OB,-0.6135032108186609,-1.7121154994867704,-1.7121154994867704,-1.7121154994867704,2.6316899223669132,-1.7121154994867704,-0.10267758705267016,-1.7121154994867704,1.423378716442379,-1.7121154994867704,-1.7121154994867704,5.6280713358333445,-1.7121154994867704,-1.7121154994867704,4.425611554599463,1.5067603253814303,-1.7121154994867704,-1.7121154994867704,-1.7121154994867704,1.23232347967967,2.4925771199041957,1.23232347967967,1.7218717049983756,-0.10267758705267016,-0.6135032108186609,-1.7121154994867704,0.2337946495685428,1.423378716442379,-1.7121154994867704,0.9959347016154394,2.922613488742865,-1.7121154994867704,-1.7121154994867704,-0.6135032108186609,-1.7121154994867704,-1.7121154994867704,6.19148079012753,2.0945469902835487,-1.7121154994867704,-1.7121154994867704,-1.7121154994867704,-1.7121154994867704,-1.7121154994867704,-1.7121154994867704,-1.7121154994867704,3.7303022110350224,4.459585097924144,-1.7121154994867704,-1.7121154994867704,-1.7121154994867704,-1.7121154994867704,-1.7121154994867704,-1.7121154994867704,3.100068855885647,1.9514461466428756,-1.7121154994867704,0.9959347016154394,2.049084616206792,-1.7121154994867704,-1.7121154994867704,0.2337946495685428,2.2952176857457003,4.817303338775455,3.1320715869718203,-1.7121154994867704,-0.10267758705267016,4.901268718892789,-1.7121154994867704,-0.6135032108186609,-1.7121154994867704,-1.7121154994867704
TS6,ob_gordon,OB,-1.10743136688053,-2.2060436555486396,-2.2060436555486396,-0.008819078212420228,2.326555837604616,-2.2060436555486396,-2.2060436555486396,-2.2060436555486396,1.8012895296838314,-0.5966057431145393,1.9370910708428928,5.4431726642719935,-0.26013350649332634,-1.10743136688053,4.179150743449086,0.7383953236178009,0.7383953236178009,-2.2060436555486396,-2.2060436555486396,0.5020065455535703,-1.10743136688053,-1.10743136688053,4.165568191683217,-0.26013350649332634,1.3493044059407742,1.0128321693195612,-1.10743136688053,2.0844157855997514,-2.2060436555486396,-1.10743136688053,2.8753607094358236,-2.2060436555486396,-2.2060436555486396,-1.10743136688053,-1.10743136688053,-2.2060436555486396,5.63505610987348,0.8384787821747832,-2.2060436555486396,-1.10743136688053,-2.2060436555486396,-2.2060436555486396,-2.2060436555486396,0.19185161724973088,-2.2060436555486396,2.3686673229547432,3.8125495589475955,0.5020065455535703,-2.2060436555486396,-2.2060436555486396,-2.2060436555486396,-2.2060436555486396,0.19185161724973088,1.8370076122859105,2.5561302792491167,2.1377617663050446,-2.2060436555486396,-2.2060436555486396,-2.2060436555486396,5.222289538642166,-2.2060436555486396,3.295214554996088,3.3430324293465805,3.2100567466557806,-0.008819078212420228,0.7383953236178009,2.3686673229547432,2.163404196918382,-1.10743136688053,-2.2060436555486396,-2.2060436555486396
TS4,ob_gordon,H,-1.853903472485749,-1.853903472485749,-1.853903472485749,-1.853903472485749,3.0948564178924194,-1.853903472485749,-1.853903472485749,-1.853903472485749,1.9072966432078133,-1.853903472485749,-1.853903472485749,6.953418795025321,2.8000568776717745,-1.853903472485749,4.709952054046378,0.3433211048504705,0.0920066765695644,-1.853903472485749,-1.853903472485749,0.3433211048504705,3.066077453342376,0.854146728616461,5.524480240510965,0.7110458849757877,-1.853903472485749,-1.853903472485749,-0.24446556005164854,2.9252200206257806,-1.853903472485749,3.2759952424373244,3.5442592290320043,-0.24446556005164854,-1.853903472485749,-0.7552911838176393,-1.853903472485749,-1.853903472485749,4.36668669761399,2.6120046461688347,-1.853903472485749,-0.7552911838176393,-1.853903472485749,-1.853903472485749,0.0920066765695644,-1.853903472485749,-1.853903472485749,2.489901949367935,3.7106169348369447,-1.853903472485749,-1.853903472485749,-1.853903472485749,-1.853903472485749,-1.853903472485749,1.0905355066806917,1.6426040889807312,4.275146737574796,-1.853903472485749,-1.853903472485749,-1.853903472485749,-1.853903472485749,-1.853903472485749,-0.24446556005164854,2.5649371353108488,-1.853903472485749,4.521121347342348,-1.853903472485749,-1.853903472485749,3.3878435425738935,3.6473547380589784,-1.853903472485749,-1.853903472485749,-1.853903472485749
TS7,ob_gordon,H,-1.2706345142223747,-2.3692468028904843,-2.3692468028904843,-2.3692468028904843,3.3705461092887496,-2.3692468028904843,-2.3692468028904843,-2.3692468028904843,0.7662474130386652,-2.3692468028904843,-0.42333665383517105,5.355199842743053,-0.759808890456384,-2.3692468028904843,4.329021251224929,0.6752756348329385,0.7662474130386652,-2.3692468028904843,-2.3692468028904843,3.2029072292872804,2.748747009526271,0.19570255457105223,2.6996573993297472,-0.759808890456384,3.337863461858391,2.000201049576537,-2.3692468028904843,2.64803303392444,-0.759808890456384,-0.759808890456384,3.0557032145909186,-2.3692468028904843,-2.3692468028904843,4.852589022397964,-2.3692468028904843,-2.3692468028904843,5.431735268367256,0.9980490270959896,-2.3692468028904843,-0.759808890456384,-2.3692468028904843,-2.3692468028904843,-2.3692468028904843,-2.3692468028904843,-2.3692468028904843,-1.2706345142223747,4.381854666046276,-2.3692468028904843,-2.3692468028904843,-2.3692468028904843,-2.3692468028904843,-2.3692468028904843,0.46396654116573166,3.2762000947527534,2.579513087487684,0.33880339821172556,-2.3692468028904843,3.261964978930881,-2.3692468028904843,5.4687021131348,0.6752756348329385,4.174665042674308,3.5943325407279625,3.9604741026322126,-2.3692468028904843,-1.2706345142223747,2.579513087487684,1.5625788298338412,-1.2706345142223747,-2.3692468028904843,-2.3692468028904843
