Genus,Kingdom,Phylum,Class,Order,Family,Health_Association,Full_Lineage,Prevalence,Mean_Count,Median_Count,Max_Count,Std_Count,Mean_Count_NonZero,Mean_Count_H,Mean_Count_OB,Mean_Count_OW
Acetanaerobacterium,,,,,,unclassified,,0.492,6.98,0.0,295,21.72,14.19,7.28,5.18,9.26
Acidaminococcus,,,,,,unclassified,,0.2076,19.51,0.0,4541,172.09,94.01,13.22,24.05,23.99
Actinomyces,,,,,,unclassified,,0.2351,0.97,0.0,115,4.47,4.12,1.06,0.64,1.32
Akkermansia,,,,,,unclassified,,0.6348,501.21,5.0,81500,2577.79,789.5,612.96,211.22,751.58
Alistipes,,,,,,unclassified,,0.8879,897.12,221.0,14717,1564.71,1010.39,1052.88,440.76,1328.22
Allisonella,,,,,,unclassified,,0.1473,1.64,0.0,192,8.86,11.11,2.1,1.46,1.08
Anaerofilum,,,,,,unclassified,,0.3684,1.08,0.0,35,2.33,2.94,1.3,0.52,1.57
Anaerosporobacter,,,,,,unclassified,,0.4869,10.06,0.0,1079,36.26,20.66,12.27,4.49,14.74
Anaerostipes,,,,,,unclassified,,0.8258,304.75,69.0,17240,748.33,369.06,323.09,193.59,445.97
Anaerotruncus,,,,,,unclassified,,0.2422,5.81,0.0,2691,70.94,24.01,4.05,11.34,0.38
Anaerovorax,,,,,,unclassified,,0.4888,3.94,0.0,229,10.48,8.06,4.42,2.9,4.69
Bacteroides,,,,,,unclassified,,0.9923,3335.89,1147.0,42743,5472.26,3361.73,3666.46,2252.89,4431.12
Barnesiella,,,,,,unclassified,,0.7085,195.27,15.0,10081,521.1,275.6,208.49,108.56,307.43
Bifidobacterium,,,,,,unclassified,,0.5887,131.47,3.0,5808,389.67,223.31,133.55,83.83,202.65
Blautia,,,,,,unclassified,,0.9923,1109.36,446.0,13661,1698.43,1117.95,1062.68,790.1,1698.44
Butyricicoccus,,,,,,unclassified,,0.3619,2.04,0.0,193,6.95,5.64,2.02,2.38,1.53
Butyricimonas,,,,,,unclassified,,0.524,15.41,1.0,493,43.06,29.4,17.33,9.74,20.79
Catenibacterium,,,,,,unclassified,,0.6765,59.64,5.0,5579,253.1,88.16,68.9,53.3,52.5
Clostridium_III,,,,,,unclassified,,0.1877,1.58,0.0,119,7.45,8.42,1.64,0.94,2.48
Clostridium_IV,,,,,,unclassified,,0.8943,186.72,51.0,5507,383.38,208.79,225.81,92.96,262.2
Clostridium_XI,,,,,,unclassified,,0.9199,246.32,50.0,9996,599.98,267.77,239.23,153.45,405.72
Clostridium_XVIII,,,,,,unclassified,,0.7143,27.66,4.0,1689,93.38,38.72,31.73,20.63,31.19
Clostridium_XlVa,,,,,,unclassified,,0.925,356.03,152.0,7370,582.93,384.87,366.58,244.41,512.35
Clostridium_XlVb,,,,,,unclassified,,0.7514,26.38,5.0,1581,75.72,35.1,22.9,21.79,40.03
Clostridium_sensu_stricto,,,,,,unclassified,,0.8117,179.38,21.0,13169,532.2,221.0,195.68,73.92,315.39
Collinsella,,,,,,unclassified,,0.4965,18.88,0.0,1520,79.26,38.03,13.45,21.38,24.96
Coprobacillus,,,,,,unclassified,,0.221,2.9,0.0,280,15.05,13.1,3.08,2.14,3.75
Coprococcus,,,,,,unclassified,,0.9552,403.03,139.0,7712,675.13,421.95,442.71,229.52,603.02
Desulfovibrio,,,,,,unclassified,,0.4061,27.56,0.0,1189,85.85,67.87,32.3,13.12,41.57
Dialister,,,,,,unclassified,,0.6252,163.7,3.0,8670,512.04,261.81,176.56,94.81,248.42
Dorea,,,,,,unclassified,,0.9686,258.75,103.0,3442,393.42,267.14,250.4,184.09,391.78
Eggerthella,,,,,,unclassified,,0.1678,0.71,0.0,80,3.8,4.23,0.88,0.84,0.19
Enterobacter,,,,,,unclassified,,0.1557,27.1,0.0,11662,371.41,174.1,29.62,30.2,17.58
Erysipelotrichaceae_incertae_sedis,,,,,,unclassified,,0.8571,119.57,23.0,2720,272.72,139.5,134.55,88.46,140.89
Escherichia/Shigella,,,,,,unclassified,,0.467,178.03,0.0,20186,1107.01,381.22,164.7,153.06,241.98
Eubacterium,,,,,,unclassified,,0.5189,16.06,1.0,1548,80.48,30.95,14.38,9.88,28.88
Faecalibacterium,,,,,,unclassified,,0.9955,734.82,372.0,14160,1069.16,738.13,746.84,560.38,987.36
Flavonifractor,,,,,,unclassified,,0.8693,24.73,8.0,717,53.39,28.45,26.32,19.34,30.31
Gemmiger,,,,,,unclassified,,0.6323,272.8,49.0,9184,561.59,431.46,264.56,175.81,440.81
Gordonibacter,,,,,,unclassified,,0.2819,1.54,0.0,100,6.39,5.47,1.4,1.05,2.59
Haemophilus,,,,,,unclassified,,0.3363,23.64,0.0,3742,175.02,70.3,32.13,10.21,29.12
Hespellia,,,,,,unclassified,,0.5445,12.88,2.0,1354,55.67,23.64,12.66,6.1,23.95
Holdemania,,,,,,unclassified,,0.419,1.87,0.0,45,4.53,4.46,2.05,1.3,2.42
Howardella,,,,,,unclassified,,0.2255,4.14,0.0,990,28.28,18.38,4.49,3.84,3.99
Lachnobacterium,,,,,,unclassified,,0.2569,1.24,0.0,477,12.39,4.83,1.16,0.44,2.65
Lachnospira,,,,,,unclassified,,0.3197,11.64,0.0,816,43.77,36.42,10.62,19.73,0.79
Lachnospiracea_incertae_sedis,,,,,,unclassified,,0.9974,420.0,224.0,5922,563.06,421.08,456.6,303.92,535.23
Lactobacillus,,,,,,unclassified,,0.3363,12.11,0.0,2645,90.56,36.01,10.47,14.03,12.11
Lactococcus,,,,,,unclassified,,0.2005,1.76,0.0,449,16.39,8.79,1.89,1.01,2.71
Megasphaera,,,,,,unclassified,,0.1371,16.19,0.0,11223,309.21,118.08,10.68,27.84,8.01
Methanobrevibacter,,,,,,unclassified,,0.3261,92.13,0.0,10310,547.35,282.55,110.83,31.93,152.42
Mogibacterium,,,,,,unclassified,,0.3831,6.79,0.0,533,31.27,17.72,6.99,3.53,11.55
Odoribacter,,,,,,unclassified,,0.7502,29.03,7.0,1465,73.68,38.69,35.6,17.03,35.78
Oscillibacter,,,,,,unclassified,,0.9693,179.03,80.0,4592,340.9,184.71,197.79,111.23,251.17
Parabacteroides,,,,,,unclassified,,0.9283,418.92,73.0,10400,870.49,451.3,458.44,247.96,615.21
Paraprevotella,,,,,,unclassified,,0.3857,59.2,0.0,6912,293.4,153.52,65.55,33.22,88.42
Parasutterella,,,,,,unclassified,,0.3382,15.04,0.0,1366,78.49,44.45,13.0,13.86,20.64
Phascolarctobacterium,,,,,,unclassified,,0.4811,39.81,0.0,2065,124.14,82.76,39.07,33.76,50.73
Porphyromonas,,,,,,unclassified,,0.1762,1.98,0.0,484,17.22,11.22,1.47,1.23,4.08
Prevotella,,,,,,unclassified,,0.7489,692.75,5.0,48063,2609.67,925.05,678.52,626.78,822.93
Pseudoflavonifractor,,,,,,unclassified,,0.6694,6.13,2.0,340,13.92,9.16,7.67,3.61,7.26
Roseburia,,,,,,unclassified,,0.9846,834.32,220.0,21513,1439.06,847.35,742.5,613.87,1351.17
Ruminococcus,,,,,,unclassified,,0.9379,317.15,94.0,10550,583.25,338.17,342.45,199.91,455.1
Ruminococcus2,,,,,,unclassified,,0.9885,252.7,135.0,3930,357.95,255.65,254.17,195.43,340.19
Sporobacter,,,,,,unclassified,,0.5977,80.33,5.0,1834,164.85,134.39,96.19,37.4,118.63
Streptococcus,,,,,,unclassified,,0.672,24.12,2.0,1722,85.93,35.9,23.06,22.82,28.13
Subdoligranulum,,,,,,unclassified,,0.9135,93.96,45.0,2335,159.56,102.86,99.52,74.53,114.31
Sutterella,,,,,,unclassified,,0.3229,9.15,0.0,768,39.74,28.33,8.88,11.39,6.1
Turicibacter,,,,,,unclassified,,0.5663,14.81,1.0,628,46.66,26.15,13.83,12.12,20.85
Veillonella,,,,,,unclassified,,0.4856,20.17,0.0,4356,147.94,41.54,19.63,10.48,36.44
Victivallis,,,,,,unclassified,,0.2351,6.6,0.0,671,40.88,28.07,9.61,2.33,7.78
